state_abbr,county_name,venue_rating,fips
ID,Bonner,Neutral,16017
ID,Bonneville,Neutral,16019
ID,Boundary,Defense,16021
ID,Butte,Defense,16023
ID,Camas,Defense,16025
ID,Canyon,Defense,16027
ID,Caribou,Defense,16029
ID,Cassia,Defense,16031
ID,Clark,Defense,16033
ID,Clearwater,Defense,16035
ID,Custer,Defense,16037
ID,Elmore,Defense,16039
ID,Franklin,Defense,16041
ID,Fremont,Defense,16043
ID,Gem,Defense,16045
ID,Gooding,Neutral,16047
ID,Idaho,Neutral,16049
ID,Jefferson,Defense,16051
ID,Jerome,Neutral,16053
ID,Kootenai,Neutral,16055
ID,Latah,Plaintiff,16057
ID,Lemhi,Defense,16059
ID,Lewis,Defense,16061
ID,Lincoln,Defense,16063
ID,Madison,Defense,16065
ID,Minidoka,Defense,16067
ID,Nez Perce,Neutral,16069
ID,Oneida,Defense,16071
ID,Owyhee,Defense,16073
ID,Payette,Defense,16075
ID,Power,Defense,16077
ID,Shoshone,Neutral,16079
ID,Teton,Neutral,16081
ID,Twin Falls,Plaintiff,16083
ID,Valley,Defense,16085
ID,Washington,Defense,16087
IL,Adams,Defense,17001
IL,Alexander,Defense,17003
IL,Bond,Defense,17005
IL,Boone,Defense,17007
IL,Brown,Defense,17009
IL,Bureau,Defense,17011
IL,Calhoun,Defense,17013
IL,Carroll,Defense,17015
IL,Cass,Defense,17017
IL,Champaign,Neutral,17019
IL,Christian,Defense,17021
IL,Clark,Defense,17023
IL,Clay,Defense,17025
IL,Clinton,Defense,17027
IL,Coles,Defense,17029
IL,Cook,Plaintiff,17031
IL,Crawford,Defense,17033
IL,Cumberland,Defense,17035
IL,DeKalb,Defense,17037
IL,De Witt,Defense,17039
IL,Douglas,Defense,17041
IL,DuPage,Defense,17043
IL,Edgar,Defense,17045
IL,Edwards,Defense,17047
IL,Effingham,Defense,17049
IL,Fayette,Defense,17051
IL,Ford,Defense,17053
IL,Franklin,Defense,17055
IL,Fulton,Defense,17057
IL,Gallatin,Defense,17059
IL,Greene,Defense,17061
IL,Grundy,Defense,17063
IL,Hamilton,Defense,17065
IL,Hancock,Defense,17067
IL,Hardin,Defense,17069
IL,Henderson,Defense,17071
IL,Henry,Defense,17073
IL,Iroquois,Defense,17075
IL,Jackson,Defense,17077
IL,Jasper,Defense,17079
IL,Jefferson,Defense,17081
IL,Jersey,Defense,17083
IL,Jo Daviess,Defense,17085
IL,Johnson,Defense,17087
IL,Kane,Neutral,17089
IL,Kankakee,Defense,17091
IL,Kendall,Defense,17093
IL,Knox,Defense,17095
IL,La Salle,Defense,17099
IL,Lake,Neutral,17097
IL,Lawrence,Defense,17101
IL,Lee,Defense,17103
IL,Livingston,Defense,17105
IL,Logan,Defense,17107
IL,McDonough,Defense,17109
IL,McHenry,Defense,17111
IL,McLean,Neutral,17113
IL,Macon,Defense,17115
IL,Macoupin,Defense,17117
IL,Madison,Plaintiff,17119
IL,Marion,Defense,17121
IL,Marshall,Defense,17123
IL,Mason,Defense,17125
IL,Massac,Defense,17127
IL,Menard,Defense,17129
IL,Mercer,Defense,17131
IL,Monroe,Plaintiff,17133
IL,Montgomery,Defense,17135
IL,Morgan,Defense,17137
IL,Moultrie,Defense,17139
IL,Ogle,Defense,17141
IL,Peoria,Neutral,17143
IL,Perry,Defense,17145
IL,Piatt,Defense,17147
IL,Pike,Defense,17149
IL,Pope,Defense,17151
IL,Pulaski,Defense,17153
IL,Putnam,Defense,17155
IL,Randolph,Defense,17157
IL,Richland,Defense,17159
IL,Rock Island,Defense,17161
IL,Saline,Defense,17165
IL,Sangamon,Neutral,17167
IL,Schuyler,Defense,17169
IL,Scott,Defense,17171
IL,Shelby,Defense,17173
IL,St. Clair,Plaintiff,17163
IL,Stark,Defense,17175
IL,Stephenson,Defense,17177
IL,Tazewell,Defense,17179
IL,Union,Defense,17181
IL,Vermilion,Defense,17183
IL,Wabash,Defense,17185
IL,Warren,Defense,17187
IL,Washington,Defense,17189
IL,Wayne,Defense,17191
IL,White,Defense,17193
IL,Whiteside,Defense,17195
IL,Will,Neutral,17197
IL,Williamson,Defense,17199
IL,Winnebago,Defense,17201
IL,Woodford,Defense,17203
IN,Adams,Defense,18001
IN,Allen,Plaintiff,18003
IN,Bartholomew,Neutral,18005
IN,Benton,Defense,18007
IN,Blackford,Defense,18009
IN,Boone,Defense,18011
IN,Brown,Defense,18013
IN,Carroll,Defense,18015
IN,Cass,Defense,18017
IN,Clark,Neutral,18019
IN,Clay,Defense,18021
IN,Clinton,Defense,18023
IN,Crawford,Defense,18025
IN,Daviess,Defense,18027
IN,Dearborn,Defense,18029
IN,Decatur,Defense,18031
IN,De Kalb,Defense,18033
IN,Delaware,Plaintiff,18035
IN,Dubois,Defense,18037
IN,Elkhart,Neutral,18039
IN,Fayette,Defense,18041
IN,Floyd,Neutral,18043
IN,Fountain,Defense,18045
IN,Franklin,Defense,18047
IN,Fulton,Defense,18049
IN,Gibson,Defense,18051
IN,Grant,Neutral,18053
IN,Greene,Defense,18055
IN,Hamilton,Defense,18057
