state_abbr,county_name,venue_rating
KS,Lane,Defense
KS,Leavenworth,Neutral
KS,Lincoln,Defense
KS,Linn,Defense
KS,Logan,Defense
KS,Lyon,Plaintiff
KS,Marion,Defense
KS,Marshall,Defense
KS,McPherson,Defense
KS,Meade,Defense
KS,Miami,Neutral
KS,Mitchell,Defense
KS,Montgomery,Defense
KS,Morris,Defense
KS,Morton,Defense
KS,Nemaha,Defense
KS,Neosho,Defense
KS,Ness,Defense
KS,Norton,Defense
KS,Osage,Defense
KS,Osborne,Defense
KS,Ottawa,Defense
KS,Pawnee,Defense
KS,Phillips,Defense
KS,Pottawatomie,Defense
KS,Pratt,Defense
KS,Rawlins,Defense
KS,Reno,Plaintiff
KS,Republic,Defense
KS,Rice,Defense
KS,Riley,Defense
KS,Rooks,Defense
KS,Rush,Defense
KS,Russell,Defense
KS,Saline,Defense
KS,Scott,Defense
KS,Sedgwick,Plaintiff
KS,Seward,Defense
KS,Shawnee,Plaintiff
KS,Sheridan,Defense
KS,Sherman,Defense
KS,Smith,Defense
KS,Stafford,Defense
KS,Stanton,Defense
KS,Stevens,Neutral
KS,Sumner,Defense
KS,Thomas,Defense
KS,Trego,Defense
KS,Wabaunsee,Defense
KS,Wallace,Defense
KS,Washington,Defense
KS,Wichita,Defense
KS,Wilson,Defense
KS,Woodson,Defense
KS,Wyandotte,Plaintiff
KY,Adair,Neutral
KY,Allen,Neutral
KY,Anderson,Defense
KY,Ballard,Neutral
KY,Barren,Defense
KY,Bath,Defense
KY,Bell,Plaintiff
KY,Boone,Defense
KY,Bourbon,Defense
KY,Boyd,Neutral
KY,Boyle,Defense
KY,Bracken,Defense
KY,Breathitt,Plaintiff
KY,Breckinridge,Defense
KY,Bullitt,Neutral
KY,Butler,Neutral
KY,Caldwell,Neutral
KY,Calloway,Neutral
KY,Campbell,Neutral
KY,Carlisle,Neutral
KY,Carroll,Neutral
KY,Carter,Plaintiff
KY,Casey,Neutral
KY,Christian,Neutral
KY,Clark,Defense
KY,Clay,Plaintiff
KY,Clinton,Neutral
KY,Crittenden,Neutral
KY,Cumberland,Neutral
KY,Daviess,Neutral
KY,Edmonson,Defense
KY,Elliott,Plaintiff
KY,Estill,Neutral
KY,Fayette,Defense
KY,Fleming,Defense
KY,Floyd,Plaintiff
KY,Franklin,Neutral
KY,Fulton,Neutral
KY,Gallatin,Neutral
KY,Garrard,Defense
KY,Grant,Defense
KY,Graves,Neutral
KY,Grayson,Defense
KY,Green,Defense
KY,Greenup,Neutral
KY,Hancock,Defense
KY,Hardin,Defense
KY,Harlan,Plaintiff
KY,Harrison,Defense
KY,Hart,Defense
KY,Henderson,Neutral
KY,Henry,Defense
KY,Hickman,Neutral
KY,Hopkins,Neutral
KY,Jackson,Plaintiff
KY,Jefferson,Neutral
KY,Jessamine,Defense
KY,Johnson,Plaintiff
KY,Kenton,Neutral
KY,Knott,Plaintiff
KY,Knox,Plaintiff
KY,Larue,Defense
KY,Laurel,Plaintiff
KY,Lawrence,Plaintiff
KY,Lee,Plaintiff
KY,Leslie,Plaintiff
KY,Letcher,Plaintiff
KY,Lewis,Defense
KY,Lincoln,Neutral
KY,Livingston,Neutral
KY,Logan,Neutral
